Datetime,VM4J_E_Irrad.Reflejada_Avg,VM4J_T1_D_Irrad.RT1_Avg,VM4J_T1_D_Temp.RT1_Avg,VM4J_T1_T_Irrad.RT1_Avg,VM4J_T1_T_Temp.RT1_Avg,VM4J_T1_Inclinometro_Avg,VM4J_SP_IML_Irrad.RT1_Avg,VM4J_SP_IL_Irrad.RT1_Avg,VM4J_SP_D_Temp.RT1_Avg,VM4J_SP_T_Temp.RT_Avg,VM4J_M1_D_Temp.RT1_Avg,VM4J_M1_TI_Temp.RT1_Avg,VM4J_M1_TS_Temp.RT1_Avg,VM4J_M1_TS_Irrad.RTS1_Avg,VM4J_M1_TI_Irrad.RT1_Avg,VM4J_M1_D_Irrad.RT1_Avg,VM4J_M1_D_A_Irrad.RT1_Avg,PM2.5_Avg,VM4J_M1_D_J_Irrad.RT1_Avg,VM4J_M1_D_L_Irrad.RT1_Avg,VM4J_M1_D_IDAE_Irrad.RT1_Avg,PM10_Avg,VM4J_M1_D_D_Irrad.RT1_Avg,VM4J_M1_D_M_Irrad.RT1_Avg
2022-01-01 01:00:00,0.0,0.0,12.3,0.0,12.575,-4.887,0.0,0.0,12.42,13.258,12.783,12.739,13.144,0.0,0.0,0.0,,,,,,,,
2022-01-01 02:00:00,0.0,0.0,9.127,0.0,9.415,-4.756,0.0,0.0,9.121,9.716,9.692,9.384,9.923,0.0,0.0,0.0,,,,,,,,
2022-01-01 03:00:00,0.0,0.0,8.061,0.0,8.347,-4.705,0.0,0.0,7.923,8.402,8.781,8.588,8.995,0.0,0.0,0.0,,,,,,,,
2022-01-01 04:00:00,0.0,0.0,8.592,0.0,8.808,-4.72,0.0,0.0,8.549,8.686,9.456,9.206,9.639,0.0,0.0,0.0,,,,,,,,
2022-01-01 05:00:00,0.0,0.0,9.562,0.0,9.676,-4.768,0.0,0.0,9.747,9.963,10.401,10.181,10.597,0.0,0.0,0.0,,,,,,,,
2022-01-01 06:00:00,0.0,0.0,9.492,0.0,9.606,-4.726,0.0,0.0,9.487,9.668,9.946,9.69,10.076,0.0,0.0,0.0,,,,,,,,
2022-01-01 07:00:00,0.0,0.0,8.988,0.0,9.217,-4.721,0.0,0.0,9.018,9.364,9.568,9.341,9.748,0.0,0.0,0.0,,,,,,,,
2022-01-01 08:00:00,0.03,0.243,13.754,0.133,13.781,-14.526,0.262,0.238,13.865,13.217,14.891,15.214,15.191,0.067,0.067,0.243,,,,,,,,
2022-01-01 09:00:00,1.742,14.776,17.06,5.793,17.006,-59.617,15.175,14.056,17.26,17.438,17.308,17.401,17.508,3.827,3.906,14.513,,,,,,,,
2022-01-01 10:00:00,6.766,30.978,14.347,14.116,14.118,-58.597,31.396,29.527,14.256,14.54,14.131,13.793,14.169,9.18,9.241,34.702,,,,,,,,
2022-01-01 11:00:00,11.234,52.089,15.434,18.008,15.148,-47.522,52.291,49.216,15.565,15.586,15.845,15.428,15.753,13.246,13.465,50.747,,,,,,,,
2022-01-01 12:00:00,15.126,76.881,16.289,20.855,15.869,-22.08,75.914,71.631,16.447,16.417,16.457,16.004,16.33,18.012,18.397,68.14,,,,,,,,
2022-01-01 13:00:00,30.834,146.005,19.455,36.279,18.607,9.615,152.26,148.536,19.832,19.611,20.129,19.467,19.812,35.242,35.714,137.759,,,,,,,,
2022-01-01 14:00:00,34.986,159.732,22.243,43.362,21.304,38.93,182.866,190.295,23.113,22.805,23.359,22.707,22.993,42.082,42.318,170.516,,,,,,,,
2022-01-01 15:00:00,21.834,88.16,23.243,35.781,22.863,57.892,93.768,97.073,23.89,24.073,23.761,23.53,23.669,26.221,26.528,99.917,,,,,,,,
2022-01-01 16:00:00,9.608,49.632,22.145,18.724,22.035,60.068,55.792,60.561,22.737,22.996,22.599,22.515,22.66,13.755,13.602,53.984,,,,,,,,
2022-01-01 17:00:00,4.716,66.631,22.083,10.833,21.875,38.627,42.051,85.598,22.604,22.816,22.18,22.238,22.326,10.41,9.409,43.706,,,,,,,,
2022-01-01 18:00:00,0.0,0.0,19.218,0.0,19.417,-5.089,0.0,0.0,19.623,20.014,20.363,20.469,20.573,0.0,0.0,0.0,,,,,,,,
2022-01-01 19:00:00,0.0,0.0,18.696,0.0,18.85,-5.062,0.0,0.0,19.09,19.07,19.524,19.593,19.792,0.0,0.0,0.0,,,,,,,,
2022-01-01 20:00:00,0.0,0.0,20.174,0.0,20.379,-5.096,0.0,0.0,20.413,20.65,20.735,20.962,21.032,0.0,0.0,0.0,,,,,,,,
2022-01-01 21:00:00,0.0,0.0,19.149,0.0,19.301,-5.077,0.0,0.0,19.4,19.756,19.889,20.184,20.205,0.0,0.0,0.0,,,,,,,,
2022-01-01 22:00:00,0.0,0.0,18.215,0.0,18.319,-5.058,0.0,0.0,18.581,18.865,18.751,18.984,19.115,0.0,0.0,0.0,,,,,,,,
2022-01-01 23:00:00,0.0,0.0,18.78,0.0,18.89,-5.071,0.0,0.0,19.053,19.15,19.394,19.657,19.702,0.0,0.0,0.0,,,,,,,,
2022-01-02 00:00:00,0.0,0.0,19.343,0.0,19.491,-5.079,0.0,0.0,19.546,19.63,19.722,19.889,19.983,0.0,0.0,0.0,,,,,,,,
2022-01-02 01:00:00,0.0,0.0,17.65,0.0,17.774,-4.99,0.0,0.0,17.619,18.037,17.686,17.74,17.825,0.0,0.0,0.0,,,,,,,,
2022-01-02 02:00:00,0.0,0.0,14.969,0.0,15.083,-4.902,0.0,0.0,14.848,15.159,14.924,14.886,15.079,0.0,0.0,0.0,,,,,,,,
