Datetime,VM4T_E_Irrad.Global_Avg,VM4T_E_Irrad.Difusa_Avg,VM4T_E_T.Amb_Avg,VM4T_E_Hum.Rel_Avg,VM4T_E_P.Rocio_Avg,VM4T_E_Vel.viento_Avg,VM4T_E_Dir.viento_Avg,VM4T_E_P.atm_Avg,VM4T_E_Precip_Avg,VM4T_E_Precip.int_Avg,VM4T_IO_Irrad.RT1_Avg,VM4T_IO_Temp.RT1_Avg
2022-01-01 01:00:00,0.0,0.0,17.631,41.353,4.309,1.313,0.414,1018.272,0.0,0.0,0.0,15.363
2022-01-01 02:00:00,0.0,0.0,15.515,48.797,4.739,1.037,2.189,1018.22,0.0,0.0,0.0,13.506
2022-01-01 03:00:00,0.0,0.0,14.533,52.806,4.98,0.664,1.497,1018.443,0.0,0.0,0.0,12.446
2022-01-01 04:00:00,0.0,0.0,15.673,48.734,4.826,1.394,0.545,1018.356,0.0,0.0,0.0,13.059
2022-01-01 05:00:00,0.0,0.0,16.387,47.887,5.088,1.256,1.903,1017.892,0.0,0.0,0.0,14.353
2022-01-01 06:00:00,0.0,0.0,17.069,45.046,4.986,0.904,1.433,1017.613,0.0,0.0,0.0,14.711
2022-01-01 07:00:00,0.0,0.0,16.152,49.382,5.437,0.832,0.382,1018.138,0.0,0.0,0.0,13.865
2022-01-01 08:00:00,0.059,0.102,20.022,37.852,4.909,3.79,0.35,1018.391,0.0,0.0,0.236,17.147
2022-01-01 09:00:00,11.529,11.884,21.266,33.619,4.537,2.117,0.344,1018.444,0.0,0.0,16.075,19.641
2022-01-01 10:00:00,33.083,33.034,17.989,44.61,5.666,1.286,1.301,1018.669,0.0,0.0,38.548,17.561
2022-01-01 11:00:00,49.964,49.322,18.228,45.576,6.224,1.02,0.435,1018.882,0.0,0.0,57.205,18.385
2022-01-01 12:00:00,67.517,66.456,17.573,52.939,7.832,0.845,0.46,1018.96,0.0,0.0,76.261,18.677
2022-01-01 13:00:00,132.293,129.005,18.019,57.13,9.381,0.856,0.966,1018.29,0.0,0.0,154.144,21.113
2022-01-01 14:00:00,140.823,125.838,21.301,43.794,8.194,2.044,0.346,1017.711,0.0,0.0,189.426,24.363
2022-01-01 15:00:00,94.824,92.745,23.934,29.76,5.16,3.843,0.332,1017.127,0.0,0.0,112.586,24.908
2022-01-01 16:00:00,42.112,39.573,23.943,28.361,4.49,3.029,0.362,1016.825,0.0,0.001,56.444,23.781
2022-01-01 17:00:00,17.928,11.8,23.754,28.143,4.222,4.334,0.329,1016.626,0.0,0.0,18.621,22.585
2022-01-01 18:00:00,0.0,0.0,23.404,27.769,3.719,2.78,0.409,1016.466,0.0,0.0,0.0,21.706
2022-01-01 19:00:00,0.0,0.0,22.735,29.185,3.831,3.335,0.328,1016.655,0.0,0.0,0.0,21.045
2022-01-01 20:00:00,0.0,0.0,23.115,27.789,3.485,4.647,0.312,1016.65,0.0,0.002,0.0,21.397
2022-01-01 21:00:00,0.0,0.0,22.618,28.541,3.456,3.602,0.323,1016.657,0.0,0.0,0.0,20.801
2022-01-01 22:00:00,0.0,0.0,22.103,29.364,3.399,2.679,0.308,1016.832,0.0,0.0,0.0,20.022
2022-01-01 23:00:00,0.0,0.0,22.243,28.771,3.23,3.372,0.304,1017.159,0.0,0.0,0.0,20.22
2022-01-02 00:00:00,0.0,0.0,22.206,28.776,3.196,3.169,0.304,1017.42,0.0,0.0,0.0,20.549
2022-01-02 01:00:00,0.0,0.0,19.177,44.343,6.443,1.843,0.226,1017.853,0.0,0.013,0.0,18.576
2022-01-02 02:00:00,0.0,0.0,16.561,62.844,9.426,1.107,1.281,1018.503,0.0,0.0,0.0,15.967
2022-01-02 03:00:00,0.0,0.0,15.704,68.058,9.817,0.998,0.569,1018.946,0.0,0.0,0.0,14.979
2022-01-02 04:00:00,0.0,0.0,15.158,69.786,9.668,1.632,2.939,1019.226,0.0,0.0,0.0,14.581
2022-01-02 05:00:00,0.0,0.0,14.891,70.4,9.541,0.955,0.284,1019.414,0.0,0.0,0.0,13.552
2022-01-02 06:00:00,0.0,0.0,13.628,75.073,9.291,1.041,0.344,1019.849,0.0,0.0,0.0,11.484
2022-01-02 07:00:00,0.0,0.0,12.348,78.514,8.703,0.705,0.38,1020.438,0.0,0.0,0.0,9.823
2022-01-02 08:00:00,0.059,0.083,11.09,82.53,8.225,1.245,0.677,1021.058,0.0,0.0,0.162,8.829
2022-01-02 09:00:00,25.229,15.79,10.836,82.105,7.898,1.011,0.693,1021.874,0.0,0.0,66.066,9.842
2022-01-02 10:00:00,138.221,57.21,12.061,78.584,8.44,0.466,0.557,1022.664,0.0,0.0,350.129,19.085
2022-01-02 11:00:00,183.733,67.188,13.985,72.171,9.037,0.462,1.586,1022.76,0.0,0.0,420.343,22.82
2022-01-02 12:00:00,281.285,113.689,16.94,63.005,9.829,0.472,0.309,1023.053,0.0,0.0,605.159,32.053
2022-01-02 13:00:00,194.686,138.069,17.808,60.66,10.097,0.811,0.716,1022.361,0.0,0.0,324.534,27.581
