Time,P1.1.1 E (Wh),P1.1.1 P (W),P1.1.2 E (Wh),P1.1.2 P (W),P1.1.3 E (Wh),P1.1.3 P (W),P1.1.4 E (Wh),P1.1.4 P (W),P1.1.5 E (Wh),P1.1.5 P (W),P1.1.6 E (Wh),P1.1.6 P (W),P1.1.7 E (Wh),P1.1.7 P (W),P1.1.8 E (Wh),P1.1.8 P (W),Srt1.1 E (Wh),Str1.1 P (W)
2022-12-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2022-12-01 09:00:00,24.0,0.0,26.5,0.0,18.0,0.0,21.0,0.0,15.0,0.0,14.5,0.0,13.5,0.0,15.5,0.0,148.0,95.6833
2022-12-01 10:00:00,81.0,0.0,92.5,0.0,61.5,0.0,74.25,0.0,89.0,0.0,87.75,0.0,94.5,0.0,96.75,0.0,677.25,151.1197
2022-12-01 11:00:00,170.5,0.0,184.75,0.0,167.5,0.0,192.0,0.0,207.25,0.0,190.0,0.0,190.25,0.0,186.75,0.0,1489.0,1424.8212
2022-12-01 12:00:00,205.75,0.0,182.25,0.0,200.0,0.0,169.75,0.0,180.25,0.0,196.75,0.0,190.75,0.0,182.0,0.0,1507.5,1513.9709
2022-12-01 13:00:00,149.75,0.0,160.5,0.0,145.75,0.0,145.5,0.0,152.25,0.0,153.25,0.0,145.0,0.0,170.5,0.0,1222.5,1222.0214
2022-12-01 14:00:00,204.0,0.0,192.25,0.0,196.25,0.0,191.0,0.0,180.75,0.0,190.0,0.0,177.5,0.0,179.75,0.0,1511.5,1526.2313
2022-12-01 15:00:00,191.5,0.0,209.25,0.0,199.5,0.0,212.75,0.0,213.25,0.0,203.75,0.0,203.5,0.0,190.25,0.0,1623.75,1602.8036
2022-12-01 16:00:00,175.25,0.0,155.25,0.0,155.25,0.0,149.25,0.0,171.75,0.0,160.25,0.0,138.75,0.0,171.25,0.0,1277.0,1417.2388
2022-12-01 17:00:00,19.75,0.0,10.0,0.0,19.5,0.0,13.25,0.0,15.5,0.0,13.0,0.0,26.75,0.0,17.0,0.0,134.75,240.4853
2022-12-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
